crop_id,motion_state,direction_class,direction_deg,annotator,timestamp_iso
train_48_25546_3,unsure,10,0.0,team,2026-06-22T15:36:28.377679+00:00
train_241_11806_1,unsure,-2,,team,2026-06-22T15:36:34.410006+00:00
train_213_1410_1,unsure,12,45.0,team,2026-06-22T15:36:40.001103+00:00
train_79_8143_0,unsure,-2,,team,2026-06-22T15:36:45.198915+00:00
train_100_7830_0,stationary,10,0.0,team,2026-06-22T15:36:54.702508+00:00
valid_15_3057_3,stationary,20,0.0,team,2026-06-22T15:37:02.015145+00:00
train_186_4283_0,unsure,10,0.0,team,2026-06-22T15:37:10.473232+00:00
train_294_21000_1,unsure,-2,,team,2026-06-22T15:37:14.898189+00:00
test_284_5102_3,unsure,10,0.0,team,2026-06-22T15:37:19.126577+00:00
train_129_1726_0,unsure,10,0.0,team,2026-06-22T15:37:22.946883+00:00
train_70_1494_3,unsure,-2,,team,2026-06-22T15:37:27.160133+00:00
train_231_1242_0,stationary,16,135.0,team,2026-06-22T15:37:43.335634+00:00
train_234_3540_3,unsure,11,22.5,team,2026-06-22T15:37:46.442171+00:00
train_121_3663_0,stationary,15,112.5,team,2026-06-22T15:37:50.009692+00:00
train_189_1285_0,unsure,-2,,team,2026-06-22T15:37:57.780934+00:00
train_102_1170_0,slight,15,112.5,team,2026-06-22T15:38:02.778001+00:00
test_284_2070_4,stationary,10,0.0,team,2026-06-22T15:38:14.927663+00:00
train_189_1722_3,stationary,11,22.5,team,2026-06-22T15:38:22.317352+00:00
train_28_1439_1,unsure,-2,,team,2026-06-22T15:38:25.336244+00:00
train_180_5084_1,stationary,16,135.0,team,2026-06-22T15:38:31.097217+00:00
train_118_5722_2,stationary,10,0.0,team,2026-06-22T15:38:36.041927+00:00
train_232_810_4,unsure,-2,,team,2026-06-22T15:38:38.708902+00:00
test_308_4680_0,stationary,-2,,team,2026-06-22T15:38:41.519879+00:00
test_55_10350_0,unsure,17,157.5,team,2026-06-22T15:38:56.995667+00:00
train_122_8310_0,unsure,13,67.5,team,2026-06-22T15:39:05.321421+00:00
valid_221_1693_0,moderate,31,202.5,team,2026-06-22T15:39:12.733423+00:00
train_111_2528_0,stationary,14,90.0,team,2026-06-22T15:39:24.016862+00:00
train_236_10821_0,unsure,10,0.0,team,2026-06-22T15:39:30.933699+00:00
train_85_480_0,stationary,11,22.5,team,2026-06-22T15:39:35.315550+00:00
train_195_780_0,stationary,30,180.0,team,2026-06-22T15:39:46.609584+00:00
valid_221_2064_0,stationary,30,180.0,team,2026-06-22T15:39:52.270447+00:00
valid_10_2580_2,unsure,10,0.0,team,2026-06-22T15:40:06.644146+00:00
train_182_4853_0,stationary,17,157.5,team,2026-06-22T15:40:12.426174+00:00
valid_145_250_0,stationary,15,112.5,team,2026-06-22T15:40:23.705833+00:00
train_48_22931_2,moderate,30,180.0,team,2026-06-22T15:40:32.109762+00:00
test_278_5224_0,stationary,36,315.0,team,2026-06-22T15:40:41.373804+00:00
valid_6_4695_4,stationary,26,135.0,team,2026-06-22T15:41:03.273044+00:00
train_85_1830_3,unsure,11,22.5,team,2026-06-22T15:41:07.562546+00:00
train_143_5937_7,unsure,10,0.0,team,2026-06-22T15:41:15.903697+00:00
train_48_22986_8,stationary,14,90.0,team,2026-06-22T15:41:25.298772+00:00
train_190_1102_1,stationary,12,45.0,team,2026-06-22T15:41:28.867224+00:00
valid_150_16105_3,unsure,-2,,team,2026-06-22T15:41:32.384358+00:00
train_213_997_1,stationary,32,225.0,team,2026-06-22T15:41:37.931231+00:00
train_228_7170_0,unsure,10,0.0,team,2026-06-22T15:41:41.184811+00:00
train_137_180_8,unsure,15,112.5,team,2026-06-22T15:41:47.195377+00:00
train_188_877_0,unsure,16,135.0,team,2026-06-22T15:41:54.259368+00:00
train_236_11820_1,unsure,-2,,team,2026-06-22T15:42:01.565377+00:00
train_236_6436_0,unsure,10,0.0,team,2026-06-22T15:42:40.980006+00:00
train_46_2789_6,unsure,14,90.0,team,2026-06-22T15:42:44.738415+00:00
train_129_1860_0,unsure,-2,,team,2026-06-22T15:42:57.187919+00:00
train_2_7005_0,unsure,-2,,team,2026-06-22T15:42:59.779869+00:00
train_53_2003_0,unsure,-2,,team,2026-06-22T15:43:05.093416+00:00
test_279_4200_3,unsure,13,67.5,team,2026-06-22T15:43:11.518672+00:00
valid_222_360_0,slight,31,202.5,team,2026-06-22T15:43:19.098154+00:00
train_228_11792_0,slight,33,247.5,team,2026-06-22T15:43:26.609832+00:00
train_84_2076_3,unsure,-2,,team,2026-06-22T15:43:29.605407+00:00
train_105_3335_1,unsure,-2,,team,2026-06-22T15:43:32.374021+00:00
test_297_23295_0,unsure,-2,,team,2026-06-22T15:43:34.116946+00:00
valid_57_1629_1,moderate,31,202.5,team,2026-06-22T15:43:43.567610+00:00
test_278_5729_3,unsure,12,45.0,team,2026-06-22T15:43:53.672747+00:00
train_48_31719_1,stationary,14,90.0,team,2026-06-22T15:43:56.292819+00:00
train_20_7389_0,stationary,31,202.5,team,2026-06-22T15:44:01.197654+00:00
test_314_17670_3,unsure,-2,,team,2026-06-22T15:44:04.544090+00:00
train_86_602_0,unsure,17,157.5,team,2026-06-22T15:44:11.219985+00:00
train_115_6031_1,unsure,-2,,team,2026-06-22T15:44:13.229043+00:00
train_228_11761_0,slight,12,45.0,team,2026-06-22T15:44:16.265276+00:00
train_129_1762_2,slight,11,22.5,team,2026-06-22T15:44:27.975956+00:00
train_240_2233_0,unsure,-2,,team,2026-06-22T15:44:31.427763+00:00
valid_6_1185_2,stationary,10,0.0,team,2026-06-22T15:44:37.343991+00:00
test_152_14563_3,slight,17,157.5,team,2026-06-22T15:44:45.484822+00:00
train_180_5160_1,stationary,15,112.5,team,2026-06-22T15:44:50.121221+00:00
train_188_1770_2,stationary,14,90.0,team,2026-06-22T15:44:57.740976+00:00
valid_222_1620_0,slight,26,135.0,team,2026-06-22T15:45:03.790630+00:00
train_188_1380_2,stationary,21,22.5,team,2026-06-22T15:45:11.661831+00:00
train_294_21030_0,stationary,10,0.0,team,2026-06-22T15:45:15.939629+00:00
train_191_1420_1,unsure,12,45.0,team,2026-06-22T15:45:22.143383+00:00
valid_175_1316_3,unsure,15,112.5,team,2026-06-22T15:45:26.847138+00:00
train_224_1740_0,unsure,-2,,team,2026-06-22T15:45:29.315538+00:00
train_77_720_1,unsure,12,45.0,team,2026-06-22T15:45:32.703236+00:00
train_52_354_0,unsure,-2,,team,2026-06-22T15:45:35.387912+00:00
train_241_10950_0,unsure,-2,,team,2026-06-22T15:45:37.810026+00:00
train_79_7112_1,unsure,12,45.0,team,2026-06-22T15:45:45.478512+00:00
test_303_1028_1,stationary,14,90.0,team,2026-06-22T15:45:52.057968+00:00
train_224_13322_0,stationary,14,90.0,team,2026-06-22T15:45:57.400416+00:00
test_277_6816_0,unsure,16,135.0,team,2026-06-22T15:46:01.382456+00:00
train_227_7590_0,slight,14,90.0,team,2026-06-22T15:46:08.553140+00:00
valid_14_630_4,unsure,30,180.0,team,2026-06-22T15:46:13.118130+00:00
train_348_10830_0,stationary,-2,,team,2026-06-22T15:46:16.607132+00:00
train_227_7439_1,slight,14,90.0,team,2026-06-22T15:46:21.715156+00:00
train_238_6489_0,unsure,17,157.5,team,2026-06-22T15:46:29.424415+00:00
train_249_6840_4,unsure,12,45.0,team,2026-06-22T15:46:33.323263+00:00
test_152_14613_4,unsure,10,0.0,team,2026-06-22T15:46:42.009639+00:00
valid_6_3224_18,stationary,15,112.5,team,2026-06-22T15:46:47.163237+00:00
train_251_4353_0,unsure,10,0.0,team,2026-06-22T15:46:52.464506+00:00
train_116_4331_0,unsure,-2,,team,2026-06-22T15:46:54.148490+00:00
test_309_19680_0,unsure,-2,,team,2026-06-22T15:46:55.871428+00:00
train_120_5365_0,unsure,-2,,team,2026-06-22T15:46:57.329789+00:00
train_2_11502_1,unsure,-2,,team,2026-06-22T15:47:00.319076+00:00
valid_221_1020_1,stationary,10,0.0,team,2026-06-22T15:47:04.839994+00:00
train_99_8749_1,unsure,15,112.5,team,2026-06-22T15:47:11.268370+00:00
test_281_8051_4,unsure,-2,,team,2026-06-22T15:47:17.425766+00:00
train_191_1613_0,slight,14,90.0,team,2026-06-22T15:47:20.765774+00:00
train_71_11982_3,unsure,-2,,team,2026-06-22T15:47:24.253309+00:00
valid_150_16138_4,stationary,14,90.0,team,2026-06-22T15:47:28.654678+00:00
valid_178_4516_3,stationary,14,90.0,team,2026-06-22T15:47:34.309850+00:00
train_137_1962_1,unsure,16,135.0,team,2026-06-22T15:47:39.396759+00:00
train_72_11490_3,unsure,16,135.0,team,2026-06-22T15:47:44.848831+00:00
train_86_5559_0,unsure,-2,,team,2026-06-22T15:47:51.068472+00:00
valid_57_398_3,strong,12,45.0,team,2026-06-22T15:47:58.121956+00:00
train_117_48_0,unsure,-2,,team,2026-06-22T15:48:03.458973+00:00
train_240_2700_0,stationary,10,0.0,team,2026-06-22T15:48:07.389517+00:00
valid_221_438_6,unsure,-2,,team,2026-06-22T15:48:14.112812+00:00
train_85_2130_0,unsure,-2,,team,2026-06-22T15:48:16.380699+00:00
train_249_4597_1,stationary,10,0.0,team,2026-06-22T15:48:22.246567+00:00
train_74_1890_1,unsure,-2,,team,2026-06-22T15:48:26.377418+00:00
train_205_1110_0,stationary,22,45.0,team,2026-06-22T15:48:33.459815+00:00
valid_56_4287_5,unsure,26,135.0,team,2026-06-22T15:48:47.759007+00:00
train_179_5100_0,slight,17,157.5,team,2026-06-22T15:48:55.549207+00:00
test_277_4426_0,unsure,15,112.5,team,2026-06-22T15:48:59.083283+00:00
train_71_11862_0,unsure,13,67.5,team,2026-06-22T15:49:02.157252+00:00
valid_150_16230_4,stationary,14,90.0,team,2026-06-22T15:49:06.594581+00:00
train_228_7127_0,unsure,10,0.0,team,2026-06-22T15:49:08.760409+00:00
train_213_1436_1,unsure,13,67.5,team,2026-06-22T15:49:15.318363+00:00
train_78_6016_1,unsure,14,90.0,team,2026-06-22T15:49:21.168701+00:00
valid_56_4380_4,unsure,17,157.5,team,2026-06-22T15:49:26.952685+00:00
train_294_20970_0,stationary,10,0.0,team,2026-06-22T15:49:28.975011+00:00
test_282_9339_2,stationary,10,0.0,team,2026-06-22T15:49:31.917834+00:00
test_152_14910_1,unsure,-2,,team,2026-06-22T15:49:35.720691+00:00
valid_147_10095_1,unsure,16,135.0,team,2026-06-22T15:49:39.797357+00:00
train_74_1800_2,unsure,-2,,team,2026-06-22T15:49:50.494244+00:00
train_29_4741_1,unsure,13,67.5,team,2026-06-22T15:49:53.653617+00:00
train_86_1442_3,stationary,10,0.0,team,2026-06-22T15:49:56.087524+00:00
train_100_7391_1,unsure,17,157.5,team,2026-06-22T15:50:03.848527+00:00
valid_147_10165_1,unsure,16,135.0,team,2026-06-22T15:50:15.102412+00:00
train_86_1735_0,stationary,10,0.0,team,2026-06-22T15:50:18.277009+00:00
train_86_1645_1,stationary,11,22.5,team,2026-06-22T15:50:21.684480+00:00
valid_57_1983_0,stationary,11,22.5,team,2026-06-22T15:50:25.160167+00:00
train_100_7860_0,stationary,10,0.0,team,2026-06-22T15:50:26.880624+00:00
train_143_3586_12,stationary,31,202.5,team,2026-06-22T15:50:32.369527+00:00
train_98_1649_0,stationary,10,0.0,team,2026-06-22T15:50:39.852846+00:00
train_71_11862_5,unsure,14,90.0,team,2026-06-22T15:50:45.539778+00:00
train_82_5929_2,unsure,14,90.0,team,2026-06-22T15:50:48.664458+00:00
train_106_5190_0,slight,13,67.5,team,2026-06-22T15:50:53.043466+00:00
valid_57_1697_4,slight,17,157.5,team,2026-06-22T15:50:58.787679+00:00
test_282_9330_0,unsure,13,67.5,team,2026-06-22T15:51:05.329270+00:00
valid_221_270_2,slight,11,22.5,team,2026-06-22T15:51:09.370710+00:00
train_241_6870_0,unsure,-2,,team,2026-06-22T15:51:13.237556+00:00
train_251_6135_8,stationary,12,45.0,team,2026-06-22T15:51:16.909311+00:00
valid_57_1602_1,moderate,31,202.5,team,2026-06-22T15:51:23.998697+00:00
test_152_14820_3,unsure,16,135.0,team,2026-06-22T15:51:29.150651+00:00
test_308_8330_0,unsure,-2,,team,2026-06-22T15:51:31.008083+00:00
valid_15_947_2,unsure,20,0.0,team,2026-06-22T15:51:36.559341+00:00
valid_221_1650_0,moderate,31,202.5,team,2026-06-22T15:51:50.171008+00:00
train_115_5987_0,stationary,10,0.0,team,2026-06-22T15:51:54.350676+00:00
train_0_8084_0,unsure,-2,,team,2026-06-22T15:51:59.741494+00:00
valid_177_1216_2,stationary,33,247.5,team,2026-06-22T15:52:03.649005+00:00
test_162_7530_8,stationary,16,135.0,team,2026-06-22T15:52:08.101470+00:00
train_202_8221_0,stationary,16,135.0,team,2026-06-22T15:52:12.758003+00:00
train_236_11442_0,unsure,-2,,team,2026-06-22T15:52:16.931929+00:00
train_155_3360_0,unsure,16,135.0,team,2026-06-22T15:52:22.885839+00:00
train_247_3161_0,unsure,-2,,team,2026-06-22T15:52:24.480089+00:00
train_247_3161_5,unsure,-2,,team,2026-06-22T15:52:26.007613+00:00
train_77_1035_1,unsure,-2,,team,2026-06-22T15:52:29.189870+00:00
test_163_6385_5,unsure,17,157.5,team,2026-06-22T15:52:34.928479+00:00
train_47_2058_9,moderate,16,135.0,team,2026-06-22T15:52:41.343365+00:00
train_229_575_0,stationary,10,0.0,team,2026-06-22T15:52:47.440096+00:00
train_142_3860_1,stationary,15,112.5,team,2026-06-22T15:52:52.295186+00:00
valid_145_290_0,unsure,-2,,team,2026-06-22T15:52:54.006176+00:00
train_247_3142_7,unsure,-2,,team,2026-06-22T15:52:55.273918+00:00
test_344_4800_1,unsure,-2,,team,2026-06-22T15:52:57.451979+00:00
valid_222_407_3,slight,31,202.5,team,2026-06-22T15:53:04.342169+00:00
valid_221_2023_0,stationary,11,22.5,team,2026-06-22T15:53:09.787798+00:00
train_232_2973_1,unsure,-2,,team,2026-06-22T15:53:13.769568+00:00
train_77_965_3,unsure,-2,,team,2026-06-22T15:53:14.945755+00:00
train_186_4659_0,unsure,-2,,team,2026-06-22T15:53:16.125016+00:00
train_93_4308_3,unsure,-2,,team,2026-06-22T15:53:21.222088+00:00
train_215_2627_0,unsure,-2,,team,2026-06-22T15:53:22.836093+00:00
train_129_1762_0,stationary,10,0.0,team,2026-06-22T15:53:29.085161+00:00
valid_150_10302_0,unsure,-2,,team,2026-06-22T15:53:30.927543+00:00
valid_221_1962_4,unsure,-2,,team,2026-06-22T15:53:32.630988+00:00
test_309_26670_0,unsure,15,112.5,team,2026-06-22T15:53:38.920004+00:00
train_29_4800_2,stationary,12,45.0,team,2026-06-22T15:53:41.369683+00:00
train_115_358_0,stationary,13,67.5,team,2026-06-22T15:53:46.752721+00:00
train_70_1334_2,unsure,14,90.0,team,2026-06-22T15:53:50.909939+00:00
valid_57_1025_0,slight,10,0.0,team,2026-06-22T15:53:58.570723+00:00
valid_147_10165_0,stationary,14,90.0,team,2026-06-22T15:54:01.698156+00:00
train_96_3680_1,stationary,13,67.5,team,2026-06-22T15:54:05.732658+00:00
valid_147_11013_5,stationary,10,0.0,team,2026-06-22T15:54:08.001111+00:00
train_121_3090_0,unsure,-2,,team,2026-06-22T15:54:13.876313+00:00
train_71_12045_0,slight,15,112.5,team,2026-06-22T15:54:17.840312+00:00
train_246_661_9,stationary,16,135.0,team,2026-06-22T15:54:21.962709+00:00
train_228_11310_2,slight,10,0.0,team,2026-06-22T15:54:25.102762+00:00
test_265_4710_1,unsure,-2,,team,2026-06-22T15:54:26.922457+00:00
train_241_11896_1,unsure,-2,,team,2026-06-22T15:54:28.777292+00:00
train_84_720_0,stationary,16,135.0,team,2026-06-22T15:54:32.173544+00:00
train_40_3441_0,stationary,13,67.5,team,2026-06-22T15:54:34.814368+00:00
valid_221_910_6,slight,16,135.0,team,2026-06-22T15:54:38.460569+00:00
valid_222_1312_1,slight,33,247.5,team,2026-06-22T15:54:47.294719+00:00
train_106_5915_0,stationary,35,292.5,team,2026-06-22T15:54:53.987603+00:00
valid_178_2708_13,stationary,30,180.0,team,2026-06-22T15:54:58.394715+00:00
valid_145_150_0,stationary,10,0.0,team,2026-06-22T15:55:03.033577+00:00
test_277_4424_1,unsure,16,135.0,team,2026-06-22T15:55:07.295954+00:00
train_74_2770_4,stationary,16,135.0,team,2026-06-22T15:55:12.510031+00:00
valid_13_3029_5,stationary,26,135.0,team,2026-06-22T15:55:17.076784+00:00
train_251_6335_0,unsure,-2,,team,2026-06-22T15:55:19.767760+00:00
train_347_21180_2,unsure,10,0.0,team,2026-06-22T15:55:23.520042+00:00
train_179_3778_1,unsure,-2,,team,2026-06-22T15:55:25.179829+00:00
test_298_20160_1,slight,12,45.0,team,2026-06-22T15:55:29.310675+00:00
valid_222_390_1,slight,10,0.0,team,2026-06-22T15:55:31.274767+00:00
train_225_4680_1,unsure,-2,,team,2026-06-22T15:55:39.545168+00:00
train_192_186_0,stationary,14,90.0,team,2026-06-22T15:55:42.142453+00:00
train_247_4080_0,unsure,-2,,team,2026-06-22T15:55:43.832443+00:00
train_347_21360_2,unsure,10,0.0,team,2026-06-22T15:55:47.312574+00:00
valid_57_1002_1,slight,10,0.0,team,2026-06-22T15:55:54.896235+00:00
valid_221_1953_4,unsure,-2,,team,2026-06-22T15:55:57.083544+00:00
train_137_1822_1,stationary,15,112.5,team,2026-06-22T15:56:00.495248+00:00
train_194_1380_0,stationary,23,67.5,team,2026-06-22T15:56:05.473555+00:00
train_92_5757_0,unsure,14,90.0,team,2026-06-22T15:56:09.574033+00:00
train_251_5970_0,unsure,-2,,team,2026-06-22T15:56:11.801005+00:00
test_299_4770_0,unsure,-2,,team,2026-06-22T15:56:13.242224+00:00
valid_10_3333_7,unsure,10,0.0,team,2026-06-22T15:56:15.396979+00:00
test_298_20147_0,stationary,-2,,team,2026-06-22T15:56:18.666215+00:00
valid_177_1240_0,stationary,33,247.5,team,2026-06-22T15:56:23.164060+00:00
valid_57_307_3,slight,12,45.0,team,2026-06-22T15:56:27.169156+00:00
valid_15_1007_2,stationary,20,0.0,team,2026-06-22T15:56:32.273284+00:00
train_229_530_9,slight,17,157.5,team,2026-06-22T15:56:38.126067+00:00
train_232_750_3,unsure,14,90.0,team,2026-06-22T15:56:48.094516+00:00
train_79_5667_1,slight,16,135.0,team,2026-06-22T15:56:51.952463+00:00
train_78_6150_2,unsure,10,0.0,team,2026-06-22T15:56:56.758331+00:00
valid_57_327_7,unsure,17,157.5,team,2026-06-22T15:57:00.833217+00:00
valid_57_1957_0,stationary,11,22.5,team,2026-06-22T15:57:03.212952+00:00
train_29_4830_0,stationary,12,45.0,team,2026-06-22T15:57:11.480347+00:00
test_152_14613_7,unsure,-2,,team,2026-06-22T15:57:16.583367+00:00
train_74_2715_4,stationary,17,157.5,team,2026-06-22T15:57:22.846997+00:00
valid_221_277_3,moderate,10,0.0,team,2026-06-22T15:57:25.778566+00:00
valid_87_1133_0,unsure,-2,,team,2026-06-22T15:57:29.598460+00:00
train_251_6060_13,stationary,12,45.0,team,2026-06-22T15:57:33.113571+00:00
train_123_3188_0,unsure,-2,,team,2026-06-22T15:57:34.804491+00:00
test_314_9120_0,unsure,10,0.0,team,2026-06-22T15:57:38.378180+00:00
train_180_3731_0,unsure,16,135.0,team,2026-06-22T15:57:44.292707+00:00
train_231_453_0,stationary,14,90.0,team,2026-06-22T15:57:50.165552+00:00
train_74_2853_2,unsure,-2,,team,2026-06-22T15:57:52.859765+00:00
train_196_7260_0,unsure,12,45.0,team,2026-06-22T15:57:58.815247+00:00
test_309_19608_0,stationary,-2,,team,2026-06-22T15:58:01.802828+00:00
valid_15_3091_4,unsure,-2,,team,2026-06-22T15:58:04.931050+00:00
train_179_5190_1,stationary,16,135.0,team,2026-06-22T15:58:09.979205+00:00
valid_57_952_0,slight,10,0.0,team,2026-06-22T15:58:15.730513+00:00
valid_145_831_0,slight,15,112.5,team,2026-06-22T15:58:26.723027+00:00
train_231_53_2,unsure,-2,,team,2026-06-22T15:58:28.911058+00:00
train_137_1890_1,stationary,16,135.0,team,2026-06-22T15:58:31.806737+00:00
train_192_30_0,stationary,14,90.0,team,2026-06-22T15:58:37.067604+00:00
train_116_7890_1,unsure,16,135.0,team,2026-06-22T15:58:42.637942+00:00
train_112_1055_0,unsure,-2,,team,2026-06-22T15:58:46.766925+00:00
train_228_7292_0,stationary,17,157.5,team,2026-06-22T15:58:51.779450+00:00
train_246_2640_5,stationary,14,90.0,team,2026-06-22T15:58:57.911519+00:00
train_187_5240_0,stationary,12,45.0,team,2026-06-22T15:59:00.831751+00:00
test_277_6666_0,strong,15,112.5,team,2026-06-22T15:59:10.254152+00:00
train_229_544_8,stationary,10,0.0,team,2026-06-22T15:59:15.623282+00:00
train_213_972_2,unsure,-2,,team,2026-06-22T15:59:23.397376+00:00
valid_57_1020_1,slight,20,0.0,team,2026-06-22T15:59:27.619354+00:00
train_70_1140_2,unsure,14,90.0,team,2026-06-22T15:59:33.585232+00:00
train_191_1530_1,unsure,12,45.0,team,2026-06-22T15:59:37.917449+00:00
train_227_1800_1,unsure,-2,,team,2026-06-22T15:59:46.247419+00:00
train_77_945_1,unsure,11,22.5,team,2026-06-22T15:59:51.426696+00:00
valid_222_390_3,slight,14,90.0,team,2026-06-22T15:59:53.828725+00:00
train_0_8107_0,unsure,-2,,team,2026-06-22T15:59:58.262318+00:00
train_206_1170_0,stationary,15,112.5,team,2026-06-22T16:00:03.281545+00:00
train_80_5610_2,unsure,-2,,team,2026-06-22T16:00:05.667692+00:00
train_202_8070_0,unsure,-2,,team,2026-06-22T16:00:07.936116+00:00
train_240_1631_0,unsure,10,0.0,team,2026-06-22T16:00:13.486809+00:00
train_75_30_0,unsure,-2,,team,2026-06-22T16:00:16.737103+00:00
train_240_2273_0,stationary,11,22.5,team,2026-06-22T16:05:37.307015+00:00
train_215_1470_0,stationary,12,45.0,team,2026-06-22T16:05:44.855450+00:00
train_191_1563_2,slight,11,22.5,team,2026-06-22T16:05:47.351717+00:00
valid_147_10196_4,stationary,16,135.0,team,2026-06-22T16:05:51.695332+00:00
train_229_544_6,stationary,10,0.0,team,2026-06-22T16:05:53.759766+00:00
